"","Species","Country.of.Origin","quality_measure","score"
"238","Arabica","Nicaragua","Uniformity",9.79461538461539
"239","Arabica","Nicaragua","Clean.Cup",9.76923076923077
"240","Arabica","Nicaragua","Sweetness",9.82038461538462
"241","Arabica","Nicaragua","Cupper.Points",7.27884615384615
"242","Arabica","Nicaragua","Total.Cup.Points",80.4580769230769
"243","Arabica","Panama","Aroma",7.6675
"244","Arabica","Panama","Flavor",7.625
"245","Arabica","Panama","Aftertaste",7.605
"246","Arabica","Panama","Acidity",7.705
"247","Arabica","Panama","Body",7.5825
"248","Arabica","Panama","Balance",7.875
"249","Arabica","Panama","Uniformity",10
"250","Arabica","Panama","Clean.Cup",10
"251","Arabica","Panama","Sweetness",10
"252","Arabica","Panama","Cupper.Points",7.645
"253","Arabica","Panama","Total.Cup.Points",83.7075
"254","Arabica","Papua New Guinea","Aroma",8.33
"255","Arabica","Papua New Guinea","Flavor",8.42
"256","Arabica","Papua New Guinea","Aftertaste",7.83
"257","Arabica","Papua New Guinea","Acidity",8.33
"258","Arabica","Papua New Guinea","Body",8
"259","Arabica","Papua New Guinea","Balance",8.25
"260","Arabica","Papua New Guinea","Uniformity",9.33
"261","Arabica","Papua New Guinea","Clean.Cup",9.33
"262","Arabica","Papua New Guinea","Sweetness",10
"263","Arabica","Papua New Guinea","Cupper.Points",7.92
"264","Arabica","Papua New Guinea","Total.Cup.Points",85.75
"265","Arabica","Peru","Aroma",7.693
"266","Arabica","Peru","Flavor",7.658
"267","Arabica","Peru","Aftertaste",7.541
"268","Arabica","Peru","Acidity",7.699
"269","Arabica","Peru","Body",7.802
"270","Arabica","Peru","Balance",7.666
"271","Arabica","Peru","Uniformity",9.533
"272","Arabica","Peru","Clean.Cup",9.466
"273","Arabica","Peru","Sweetness",9.866
"274","Arabica","Peru","Cupper.Points",7.601
"275","Arabica","Peru","Total.Cup.Points",82.526
"276","Arabica","Philippines","Aroma",7.364
"277","Arabica","Philippines","Flavor",7.232
"278","Arabica","Philippines","Aftertaste",7.302
"279","Arabica","Philippines","Acidity",7.266
"280","Arabica","Philippines","Body",7.298
"281","Arabica","Philippines","Balance",7.4
"282","Arabica","Philippines","Uniformity",9.866
"283","Arabica","Philippines","Clean.Cup",10
"284","Arabica","Philippines","Sweetness",9.866
"285","Arabica","Philippines","Cupper.Points",7.234
"286","Arabica","Philippines","Total.Cup.Points",80.834
"287","Arabica","Rwanda","Aroma",7.83
"288","Arabica","Rwanda","Flavor",7.92
"289","Arabica","Rwanda","Aftertaste",7.75
"290","Arabica","Rwanda","Acidity",7.83
"291","Arabica","Rwanda","Body",7.75
"292","Arabica","Rwanda","Balance",7.75
"293","Arabica","Rwanda","Uniformity",9.33
"294","Arabica","Rwanda","Clean.Cup",9.33
"295","Arabica","Rwanda","Sweetness",9.33
"296","Arabica","Rwanda","Cupper.Points",8
"297","Arabica","Rwanda","Total.Cup.Points",82.83
"298","Arabica","Taiwan","Aroma",7.5336
"299","Arabica","Taiwan","Flavor",7.4636
"300","Arabica","Taiwan","Aftertaste",7.39546666666667
"301","Arabica","Taiwan","Acidity",7.41546666666667
"302","Arabica","Taiwan","Body",7.45
"303","Arabica","Taiwan","Balance",7.426
"304","Arabica","Taiwan","Uniformity",9.89306666666667
"305","Arabica","Taiwan","Clean.Cup",9.98213333333333
"306","Arabica","Taiwan","Sweetness",9.9644
"307","Arabica","Taiwan","Cupper.Points",7.47666666666667
"308","Arabica","Taiwan","Total.Cup.Points",82.0013333333333
"309","Arabica","Tanzania, United Republic Of","Aroma",7.57125
"310","Arabica","Tanzania, United Republic Of","Flavor",7.42975
"311","Arabica","Tanzania, United Republic Of","Aftertaste",7.425
"312","Arabica","Tanzania, United Republic Of","Acidity",7.5
"313","Arabica","Tanzania, United Republic Of","Body",7.479
"314","Arabica","Tanzania, United Republic Of","Balance",7.46975
"315","Arabica","Tanzania, United Republic Of","Uniformity",10
"316","Arabica","Tanzania, United Republic Of","Clean.Cup",10
"317","Arabica","Tanzania, United Republic Of","Sweetness",10
"318","Arabica","Tanzania, United Republic Of","Cupper.Points",7.49325
"319","Arabica","Tanzania, United Republic Of","Total.Cup.Points",82.3695
"320","Arabica","Thailand","Aroma",7.4840625
"321","Arabica","Thailand","Flavor",7.528125
"322","Arabica","Thailand","Aftertaste",7.4734375
"323","Arabica","Thailand","Acidity",7.5971875
"324","Arabica","Thailand","Body",7.5521875
"325","Arabica","Thailand","Balance",7.5240625
"326","Arabica","Thailand","Uniformity",9.9375
"327","Arabica","Thailand","Clean.Cup",9.9584375
"328","Arabica","Thailand","Sweetness",9.958125
"329","Arabica","Thailand","Cupper.Points",7.5596875
"330","Arabica","Thailand","Total.Cup.Points",82.57375
"331","Arabica","Uganda","Aroma",7.90423076923077
"332","Arabica","Uganda","Flavor",7.75076923076923
"333","Arabica","Uganda","Aftertaste",7.60269230769231
"334","Arabica","Uganda","Acidity",7.70576923076923
"335","Arabica","Uganda","Body",7.68884615384615
"336","Arabica","Uganda","Balance",7.66076923076923
"337","Arabica","Uganda","Uniformity",10
"338","Arabica","Uganda","Clean.Cup",10
"339","Arabica","Uganda","Sweetness",10
"340","Arabica","Uganda","Cupper.Points",7.74076923076923
"341","Arabica","Uganda","Total.Cup.Points",84.0519230769231
"342","Arabica","United States","Aroma",7.88625
"343","Arabica","United States","Flavor",8.13625
"344","Arabica","United States","Aftertaste",7.98875
"345","Arabica","United States","Acidity",8.06375
"346","Arabica","United States","Body",7.9375
"347","Arabica","United States","Balance",7.9475
"348","Arabica","United States","Uniformity",10
"349","Arabica","United States","Clean.Cup",10
"350","Arabica","United States","Sweetness",10
"351","Arabica","United States","Cupper.Points",8.02125
"352","Arabica","United States","Total.Cup.Points",85.97875
"353","Arabica","United States (Hawaii)","Aroma",7.57246575342466
"354","Arabica","United States (Hawaii)","Flavor",7.57643835616438
"355","Arabica","United States (Hawaii)","Aftertaste",7.5027397260274
"356","Arabica","United States (Hawaii)","Acidity",7.61547945205479
"357","Arabica","United States (Hawaii)","Body",7.62575342465753
"358","Arabica","United States (Hawaii)","Balance",7.6441095890411
"359","Arabica","United States (Hawaii)","Uniformity",9.47890410958904
"360","Arabica","United States (Hawaii)","Clean.Cup",9.56150684931507
"361","Arabica","United States (Hawaii)","Sweetness",9.65246575342466
"362","Arabica","United States (Hawaii)","Cupper.Points",7.58876712328767
"363","Arabica","United States (Hawaii)","Total.Cup.Points",81.8204109589041
"364","Arabica","United States (Puerto Rico)","Aroma",7.6475
"365","Arabica","United States (Puerto Rico)","Flavor",7.54
"366","Arabica","United States (Puerto Rico)","Aftertaste",7.48
"367","Arabica","United States (Puerto Rico)","Acidity",7.6025
"368","Arabica","United States (Puerto Rico)","Body",7.665
"369","Arabica","United States (Puerto Rico)","Balance",7.6475
"370","Arabica","United States (Puerto Rico)","Uniformity",9
"371","Arabica","United States (Puerto Rico)","Clean.Cup",9.665
"372","Arabica","United States (Puerto Rico)","Sweetness",9.8325
"373","Arabica","United States (Puerto Rico)","Cupper.Points",7.6475
"374","Arabica","United States (Puerto Rico)","Total.Cup.Points",81.7275
"375","Arabica","Vietnam","Aroma",7.47714285714286
"376","Arabica","Vietnam","Flavor",7.47571428571429
"377","Arabica","Vietnam","Aftertaste",7.29714285714286
"378","Arabica","Vietnam","Acidity",7.43857142857143
"379","Arabica","Vietnam","Body",7.63142857142857
"380","Arabica","Vietnam","Balance",7.54714285714286
"381","Arabica","Vietnam","Uniformity",9.71428571428571
"382","Arabica","Vietnam","Clean.Cup",10
"383","Arabica","Vietnam","Sweetness",10
"384","Arabica","Vietnam","Cupper.Points",7.69142857142857
"385","Arabica","Vietnam","Total.Cup.Points",82.2742857142857
"386","Arabica","Zambia","Aroma",7.67
"387","Arabica","Zambia","Flavor",7.08
"388","Arabica","Zambia","Aftertaste",7.42
"389","Arabica","Zambia","Acidity",7.33
"390","Arabica","Zambia","Body",7.75
"391","Arabica","Zambia","Balance",7.42
"392","Arabica","Zambia","Uniformity",10
"393","Arabica","Zambia","Clean.Cup",10
"394","Arabica","Zambia","Sweetness",10
"395","Arabica","Zambia","Cupper.Points",7.25
"396","Arabica","Zambia","Total.Cup.Points",81.92
